name,neighbourhood,city,property_type,room_type,accommodates,amenities,price,review_scores_rating,reviews
Grand 2 pièces de 60 m2 cosy au canal Saint Martin,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""TV"", ""Iron"", ""Dryer"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Coffee maker"", ""Washer"", ""Cooking basics"", ""Paid parking off premises"", ""Garden or backyard"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""Elevator""]",145,100,2
"Studio pour deux, place de clichy",Elysee,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",35,100,2
Luminous & very cosy flat in Paris,Popincourt,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",39,100,1
2 pièces baignees de soleil !,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,100,1
Appartement au coeur de Bastille,Popincourt,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",55,100,4
2 rooms Canal St Martin/ Republique,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]",57,100,2
Calm 1 Bedroom,Gobelins,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,100,1
Two rooms flat near Champs Elysees,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Iron"", ""Indoor fireplace"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",51,100,4
40m2 lovely parisien flat - southpi,Opera,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",80,100,1
Duplex flat in central Paris overlooking a garden,Opera,Paris,Entire apartment,Entire place,2,"[""TV"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Cable TV"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]",70,100,8
Grand 2 pièces Montparnasse proche St-Germain,Luxembourg,Paris,Entire apartment,Entire place,2,"[""Washer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV""]",90,100,3
Typical Parisian flat with balcony - rooftop view,Temple,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",89,100,9
Comfortable studio flat near Place de la Nation,Reuilly,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",42,100,4
Cosy Appartment in the Batignolles area,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",35,100,18
Charming Flat in Downtown Paris,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Carbon monoxide alarm""]",60,100,5
Charmant 2 pièces proche montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""Hangers""]",50,100,5
Cosy flat at the foot of Sacre Coeur in Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Breakfast"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm""]",70,100,3
Appart 2 pièces - Grenelle/Effeil Tower,Vaugirard,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",50,100,4
Charming and calm duplex in Saint Germain,Luxembourg,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Hair dryer"", ""Bathtub"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Air conditioning"", ""Host greets you"", ""Long term stays allowed"", ""Luggage dropoff allowed""]",100,100,6
Appartement lumineux et calme dans le haut marais,Temple,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Fire extinguisher"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",109,100,8
Parisian cosy apartment Latin Quarter - 1 bedroom,Gobelins,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Dishwasher"", ""TV"", ""Coffee maker"", ""Microwave""]",68,100,8
Lovely flat at the heart of the Quartier Latin,Pantheon,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Long term stays allowed"", ""Carbon monoxide alarm""]",75,100,9
Very Charming Apartment in Heart of Paris,Vaugirard,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Long term stays allowed"", ""Hangers"", ""TV""]",65,100,5
Charmant appartement parisien (central),Opera,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",100,100,2
Cozy Apartment Center Town near Parc Luxembourg,Pantheon,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Breakfast""]",40,100,3
Beautiful flat near Roland Garros,Passy,Paris,Entire apartment,Entire place,2,"[""Elevator"", ""Hangers"", ""Luggage dropoff allowed"", ""Stove"", ""Coffee maker"", ""Iron"", ""Dryer"", ""Dedicated workspace"", ""First aid kit"", ""Essentials"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Cable TV"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Host greets you"", ""Microwave""]",80,100,1
2 pièces à deux pas du Marais,Popincourt,Paris,Entire apartment,Entire place,2,"[""Single level home"", ""Dishes and silverware"", ""Hangers"", ""Luggage dropoff allowed"", ""Stove"", ""Coffee maker"", ""Essentials"", ""Dishwasher"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Cable TV"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed""]",109,100,19
"Designer's space in Paris, close to Marais",Popincourt,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed""]",91,100,4
"Nice, cosy, bright, quiet studio ""intra muros""",Menilmontant,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Washer"", ""Hair dryer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Long term stays allowed""]",40,100,5
Appartement calme pour 2 - 15 min du sacre coeur,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""TV"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Heating"", ""Washer"", ""Wifi""]",60,100,5
"Charming, luminous flat in Montmartre",Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Breakfast"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Carbon monoxide alarm""]",60,100,10
Charming flat on the Gardette square (Bastille),Popincourt,Paris,Entire apartment,Entire place,2,"[""Patio or balcony"", ""Dishes and silverware"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Breakfast"", ""Iron"", ""Dryer"", ""Dedicated workspace"", ""Essentials"", ""Bed linens"", ""Dishwasher"", ""Paid parking off premises"", ""Shampoo"", ""Heating"", ""Washer"", ""Extra pillows and blankets"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Indoor fireplace"", ""Wifi"", ""Long term stays allowed"", ""Host greets you""]",119,100,11
Appartement T2 au coeur du quartier Batignolles,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Cleaning before checkout"", ""TV""]",52,100,3
Modern and calm apartement near Mouffetard,Pantheon,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Oven"", ""Heating"", ""Washer"", ""Hair dryer"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Dishwasher"", ""TV"", ""Stove""]",70,100,8
Charming & cosy 2 room apartment,Popincourt,Paris,Entire apartment,Entire place,2,"[""Patio or balcony"", ""Single level home"", ""Dishes and silverware"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Iron"", ""Dedicated workspace"", ""Smoke alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Host greets you"", ""Microwave""]",70,100,11
Clean and cosy,Vaugirard,Paris,Entire apartment,Entire place,2,"[""TV"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Kitchen"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]",30,100,1
2p avec Vue Proche Nation et Bastille,Menilmontant,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV""]",55,100,1
Trendy district - Montmartre - Moulin Rouge,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Long term stays allowed"", ""Host greets you"", ""TV""]",51,100,1
Affordable flat in the most famous area of Paris,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Pocket wifi"", ""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Dryer"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Ethernet connection"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Washer"", ""Breakfast"", ""Microwave"", ""Pack \u2019n Play/travel crib"", ""Cooking basics"", ""Paid parking off premises"", ""Single level home"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm""]",200,100,52
Charmant 2 pièces à Denfert rochereau,Observatoire,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Hangers"", ""TV""]",50,100,3
Appartement Goncourt,Popincourt,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Host greets you"", ""TV""]",90,100,2
Bel appartement en plein cœur de Paris,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""TV""]",59,100,24
A quiet flat in the living town,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Bathtub"", ""Dishes and silverware"", ""Hangers"", ""Luggage dropoff allowed"", ""Stove"", ""Coffee maker"", ""Iron"", ""Dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""First aid kit"", ""Essentials"", ""Bed linens"", ""Dishwasher"", ""Shampoo"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Fire extinguisher"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Host greets you""]",70,100,6
35m2 proche Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Bed linens"", ""Long term stays allowed"", ""Host greets you""]",60,100,4
"Appartement Cosy, Calme et Lumineux",Menilmontant,Paris,Entire apartment,Entire place,2,"[""TV"", ""Iron"", ""Kitchen"", ""Breakfast"", ""Private entrance"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]",82,100,1
"Charmant 2 pièces 45m2 lumineux près metro, parcs",Buttes-Chaumont,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Oven"", ""Lockbox"", ""Heating"", ""Washer"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Dishes and silverware"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Free street parking"", ""Hot water"", ""Hangers"", ""Essentials"", ""Bed linens"", ""Long term stays allowed"", ""Dishwasher"", ""Stove""]",52,100,11
Studio atypique 11ème,Popincourt,Paris,Entire apartment,Entire place,2,"[""Kitchen"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Wifi""]",50,100,2
Nice flat in the 18th district,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Kitchen"", ""Hair dryer"", ""Iron"", ""Smoke alarm"", ""Free street parking"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Essentials"", ""Washer"", ""Wifi""]",50,100,5
Appart Menilmontant,Popincourt,Paris,Entire apartment,Entire place,2,"[""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Pour-over coffee"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Cleaning products"", ""Clothing storage: closet"", ""Private entrance"", ""Hot water kettle"", ""Heating"", ""Freezer"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Drying rack for clothing"", ""Shampoo"", ""Laundromat nearby"", ""Shower gel"", ""Bed linens""]",45,100,1
Charmant deux pièces dans le 11eme,Reuilly,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Dedicated workspace"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Long term stays allowed"", ""Breakfast""]",90,100,6
Appartement de charme cœur de Paris,Opera,Paris,Entire apartment,Entire place,2,"[""Kitchen"", ""Coffee maker"", ""Hangers"", ""Oven"", ""Long term stays allowed"", ""Iron"", ""Smoke alarm"", ""Cable TV"", ""Hot water"", ""Refrigerator"", ""Stove"", ""Essentials"", ""TV"", ""Dishwasher"", ""Breakfast"", ""Dishes and silverware"", ""Hair dryer"", ""Shampoo"", ""Heating"", ""Cooking basics"", ""Microwave"", ""Wifi""]",100,100,4
Cosy flat in central Paris/Bastille,Popincourt,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Breakfast"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Cooking basics"", ""Hot water"", ""Essentials"", ""Host greets you"", ""Long term stays allowed"", ""TV"", ""Stove"", ""Coffee maker""]",50,100,8
"Joli deux pièces lumineux, cosy & central",Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Oven"", ""Lockbox"", ""Heating"", ""Washer"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Dishwasher"", ""Stove"", ""Coffee maker"", ""Microwave""]",100,100,6
Appartement Charmant - Quartier Jourdain,Menilmontant,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""First aid kit"", ""Heating"", ""TV"", ""Iron"", ""Indoor fireplace"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Breakfast"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",90,100,3
Calme au coeur de Paris,Popincourt,Paris,Entire apartment,Entire place,2,"[""Dishes and silverware"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Iron"", ""Dryer"", ""Dedicated workspace"", ""Essentials"", ""Private entrance"", ""Bed linens"", ""Dishwasher"", ""Paid parking off premises"", ""Shampoo"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed""]",110,100,13
Cosy and bright flat close to the Arc de Triomphe,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",90,100,1
BOOK A FLAT IN BATIGNOLLES NEIGHBORHOOD,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Washer"", ""Dedicated workspace"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Coffee maker""]",90,100,2
Cosy Parisian flat - Orsay/Saint Germain/Tuileries,Palais-Bourbon,Paris,Entire apartment,Entire place,2,"[""Dishes and silverware"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Essentials"", ""Dishwasher"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Microwave""]",120,100,11
Quiet and cosy flat in the heart of Paris,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Dishes and silverware"", ""Oven"", ""Heating"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Bed linens"", ""Carbon monoxide alarm"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Stove"", ""Long term stays allowed"", ""Dedicated workspace""]",120,100,14
Deux pièces cozy dans le 17ème arrondissement,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you""]",110,100,1
Cosy apartment in Paris 12ème,Reuilly,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Breakfast""]",60,100,5
Appartement cosy et calme à deux pas de Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",120,100,5
Roof top in Montmartre with view,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Patio or balcony"", ""Elevator"", ""Dishes and silverware"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Breakfast"", ""Iron"", ""Dedicated workspace"", ""Essentials"", ""Dishwasher"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Host greets you""]",115,100,9
Appartement calme et lumineux MONTMARTRE,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Long term stays allowed"", ""Host greets you"", ""Carbon monoxide alarm""]",65,100,7
Lovely 1 bed flat close to Montmartre 43 sqm,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Iron"", ""Dryer"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Private entrance"", ""Free street parking"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Breakfast"", ""Washer"", ""Cooking basics"", ""Shampoo""]",80,100,8
